Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
67,"A Maity, A Pathak, G Saha","Transfer learning based heart valve disease classification from phonocardiogram signal",2023,"Biomedical signal processing and control","Elsevier","https://www.sciencedirect.com/science/article/pii/S1746809423002380","https://scholar.google.com/scholar?cites=7124526970628981024&as_sdt=80005&sciodt=0,11&hl=en",1,"2026-08-23 16:48:14","","","",,,,,,67,22.33,22,3,3,"Physiological conditions that prevent heart valves from functioning precisely to ensure proper blood circulation are known as heart valve disorder (HVD). Detection of HVD is …","","https://scholar.google.com/scholar?q=related:IMEHTYhn32IJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
4,"MK Nath, SS Dash, K Mookkandi","Towards intelligent phonocardiogram analysis: Advances and future perspectives in cardiovascular disease detection",2026,"Engineering Applications of Artificial …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0952197625033780","https://scholar.google.com/scholar?cites=4460205589578286002&as_sdt=80005&sciodt=0,11&hl=en",2,"2026-08-23 16:48:14","","","",,,,,,4,4.00,1,3,1,"Abstract Phonocardiogram (PCG), electrocardiogram (ECG), and ballistocardiogram (BCG) are the non-stationary digital signals used in clinics for identifying various heart related …","","https://scholar.google.com/scholar?q=related:soMGQFrV5T0J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
76,"MU Khan, S Aziz, K Iqtidar, GF Zaher…","A two-stage classification model integrating feature fusion for coronary artery disease detection and classification",2022,"Multimedia Tools and …","Springer","https://link.springer.com/article/10.1007/s11042-021-10805-3","https://scholar.google.com/scholar?cites=13512091376412304309&as_sdt=80005&sciodt=0,11&hl=en",3,"2026-08-23 16:48:14","","10.1007/s11042-021-10805-3","",,,,,,76,19.00,15,5,4,"Abstract According to the World Health Organization, Coronary Artery Disease (CAD) is a leading cause of death globally. CAD is categorized into three types, namely Single Vessel …","","https://scholar.google.com/scholar?q=related:taOsR4SXhLsJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
56,"K Iqtidar, U Qamar, S Aziz, MU Khan","Phonocardiogram signal analysis for classification of Coronary Artery Diseases using MFCC and 1D adaptive local ternary patterns",2021,"Computers in Biology and Medicine","Elsevier","https://www.sciencedirect.com/science/article/pii/S0010482521007204","https://scholar.google.com/scholar?cites=9833873827549311062&as_sdt=80005&sciodt=0,11&hl=en",4,"2026-08-23 16:48:14","","","",,,,,,56,11.20,14,4,5,"Abstract Coronary Artery Diseases (CADs) are a dominant cause of worldwide fatalities. The development of accurate and timely diagnosis routines is imperative to reduce these risks …","https://www.researchgate.net/profile/Sumair-Aziz/publication/355162111_Phonocardiogram_Signal_Analysis_for_Classification_of_Coronary_Artery_Diseases_using_MFCC_and_1D_Adaptive_Local_Ternary_Patterns/links/67a8a4a1645ef274a478a103/Phonocardiogram-Signal-Analysis-for-Classification-of-Coronary-Artery-Diseases-using-MFCC-and-1D-Adaptive-Local-Ternary-Patterns.pdf","https://scholar.google.com/scholar?q=related:VnAW4STweIgJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
43,"MU Khan, S Aziz, SZH Naqvi…","Classification of coronary artery diseases using electrocardiogram signals",2020,"… on Emerging Trends in …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9080694/","https://scholar.google.com/scholar?cites=8854372494025720782&as_sdt=80005&sciodt=0,11&hl=en",5,"2026-08-23 16:48:14","","","",,,,,,43,7.17,11,4,6,"Coronary Artery Diseases (CAD) are the leading cause of adult mortality and morbidity globally. Eelectrocardiogram (ECG) is the most promising biophysical signature for the study …","https://www.researchgate.net/profile/Sumair-Aziz/publication/341077669_Classification_of_Coronary_Artery_Diseases_using_Electrocardiogram_Signals/links/5ec02344299bf1c09ac0da4c/Classification-of-Coronary-Artery-Diseases-using-Electrocardiogram-Signals.pdf","https://scholar.google.com/scholar?q=related:zoNk794M4XoJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
3,"VM Shervegar","Heart sound classification technique for early CVD detection using improved wavelet time scattering and discriminant analysis classifiers",2025,"Informatics and Health","Elsevier","https://www.sciencedirect.com/science/article/pii/S2949953425000037","https://scholar.google.com/scholar?cites=18424169949184176906&as_sdt=80005&sciodt=0,11&hl=en",6,"2026-08-23 16:48:14","HTML","","",,,,,,3,3.00,3,1,1,"Objective PCG represents the acoustic replay of heart sounds from the cardiac structure. To detect and analyse the different conditions of the heart, heart sound signals are essential …","https://www.sciencedirect.com/science/article/pii/S2949953425000037","https://scholar.google.com/scholar?q=related:CrOMDvTMr_8J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
5,"VM Shervegar","Heart sound classification using wavelet scattering transform and support vector machine",2023,"Intelligent Data Analysis","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.3233/IDA-237432","https://scholar.google.com/scholar?cites=8112202830323997062&as_sdt=80005&sciodt=0,11&hl=en",7,"2026-08-23 16:48:14","","10.3233/IDA-237432","",,,,,,5,1.67,5,1,3,"OBJECTIVE: A representation of the sound recordings that are associated with the movement of the entire cardiac structure is termed the Phonocardiogram (PCG) signal. In …","","https://scholar.google.com/scholar?q=related:hllhb35VlHAJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
2,"GM Rizky, S Mandala…","Detection of Myocardial Infarction in Coronary Artery Disease Patients Based on Phonocardiogram Signal Using Ensemble Learning",2023,"2023 11th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10262540/","https://scholar.google.com/scholar?cites=9404499472528861681&as_sdt=80005&sciodt=0,11&hl=en",8,"2026-08-23 16:48:14","","","",,,,,,2,0.67,1,3,3,"Coronary Artery Disease (CAD) is one of the most deadly types of heart disease in the world. CAD is triggered by narrowing or blockage of the coronary arteries by plaque. CAD can lead …","","https://scholar.google.com/scholar?q=related:8WlubnF-g4IJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
1,"K Iqtidar","Classification of Cardiac Disorders using PCG Signal Analysis",2021,"","researchgate.net","https://www.researchgate.net/profile/Khushbakht-Iqtidar/publication/382221306_Classification_of_Cardiac_Disorders_using_PCG_Signal_Analysis/links/66927b633e0edb1e0fe111d8/Classification-of-Cardiac-Disorders-using-PCG-Signal-Analysis.pdf","https://scholar.google.com/scholar?cites=9429152840737403607&as_sdt=80005&sciodt=0,11&hl=en",9,"2026-08-23 16:48:14","PDF","","",,,,,,1,0.20,1,1,5,"ABSTRACT Coronary Artery Diseases (CADs) are a dominant cause of worldwide fatalities. The development of accurate and timely diagnosis routines is imperative to reduce these …","https://www.researchgate.net/profile/Khushbakht-Iqtidar/publication/382221306_Classification_of_Cardiac_Disorders_using_PCG_Signal_Analysis/links/66927b633e0edb1e0fe111d8/Classification-of-Cardiac-Disorders-using-PCG-Signal-Analysis.pdf","https://scholar.google.com/scholar?q=related:17IEBY0U24IJ:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
0,"VM Shervegar","Informatics and Health",,"researchgate.net","","https://www.researchgate.net/profile/Vishwanath-Shervegar/publication/388890162_Heart_sound_classification_technique_for_early_CVD_detection_using_improved_wavelet_time_scattering_and_discriminant_analysis_classifiers/links/67ab9d928311ce680c5e6829/Heart-sound-classification-technique-for-early-CVD-detection-using-improved-wavelet-time-scattering-and-discriminant-analysis-classifiers.pdf","",10,"2026-08-23 16:48:14","PDF","","",,,,,,0,0.00,0,1,,"Objective: PCG represents the acoustic replay of heart sounds from the cardiac structure. To detect and analyse the different conditions of the heart, heart sound signals are essential …","https://www.researchgate.net/profile/Vishwanath-Shervegar/publication/388890162_Heart_sound_classification_technique_for_early_CVD_detection_using_improved_wavelet_time_scattering_and_discriminant_analysis_classifiers/links/67ab9d928311ce680c5e6829/Heart-sound-classification-technique-for-early-CVD-detection-using-improved-wavelet-time-scattering-and-discriminant-analysis-classifiers.pdf","https://scholar.google.com/scholar?q=related:Vq4Vx6nR3m8J:scholar.google.com/&scioq=&hl=en&as_sdt=80005&sciodt=0,11"
